Job,Due,CreatedDate,Tags,Person,CompletedDate
"collector: use a timer for saving backup of the task (every 30 seconds)",2016-01-09,blank,blank,blank,blank
"E-mail broader range of ASC participants for Hristina study",2016-01-09,blank,blank,blank,blank
"kou MSc: replace videos with non-magic videos online",2016-01-09,blank,blank,blank,blank
"Ask Dan Brierley about participating",2016-01-09,2016-01-09,blank,blank,blank
"Update project proposal for my incentive delay discounting studies. The proposal is in Reading_Files -> Bhisma -> Post PhD Papers -> Probability Incentive Delay Task",2016-01-09,blank,blank,blank,blank
"Recruit last 3 Janina Participants",2016-01-09,blank,blank,blank,blank
"collector: rename ""new instructions"" to ""first instructions""",2016-01-09,blank,blank,blank,blank
"Kou MSc project; do feedback -> for the 10 trials",2016-01-09,blank,blank,blank,blank
"work on fMRI paper write up",2016-01-09,blank,blank,blank,blank
"organise talk for Open-Source Psychology software Give presentation: Should we stop using E-prime forever? Maybe book a tuesday seminar for early in Summer term: ACTUALLY Tricia says to give the talk in week 4 - this could take the form of an intense research methods course at the end of summer term. Promoted and booked rooms for my E-Prime/Alternatives to E-Prime course - This will be a complete and intense research methods course",2016-01-09,blank,blank,blank,blank
"Kou MSc project; do feedback -> per trial (you got food! You got Shock!)",2016-01-09,blank,blank,blank,blank
"Collector: read directories that have spaces in them",2016-01-09,blank,blank,blank,blank
"connect onto collector on Github",2016-01-09,blank,blank,blank,blank
"collector: need part of the side menu on gui to be hilighted all the time when selected",2016-01-09,blank,blank,blank,blank
"collector: stim files should be ""group1stim.csv"", and proc files should be ""group1proc.csv"". Not just ""group1.csv"" for both",2016-01-09,blank,blank,blank,blank
"collector: what is composer? Is it relevant (composer friendly file upload - see notes of 10/12/2015)",2016-01-09,blank,blank,blank,blank
"find Garret's task for fMRI - Director task (apparently in its own folder on eye-tracking laptop)",2016-01-09,2016-01-09,blank,blank,blank
"collector: work on likert trial type next; after changing structure to allow substitution of .php files for each trial type, e.g. cueSave.php",2016-01-09,blank,blank,blank,blank
"collector: suggest drag and drop-trials?",2016-01-09,blank,blank,blank,blank
"Finalise coding of ADOS videos with Anya",2016-01-09,2016-01-09,blank,blank,blank
"Start going to Tuesday talks!",2016-01-10,blank,blank,blank,blank
"recalculate ADOS scores using Tom Loucas' e-mail (2/11/2015)",2016-01-10,blank,blank,blank,blank
"Sort out payment form (in black lab-book) with finance office.",2016-01-10,blank,blank,blank,blank
"organise fMRI data on R-Drive",2016-01-10,blank,blank,blank,blank
"install http://www.eyetracking-r.com/ and use it on Chris' eye-tracking data",2016-01-10,blank,blank,blank,blank
"organise inhibition data on R-Drive",2016-01-10,blank,blank,blank,blank
"code Ravens and update database",2016-01-10,blank,blank,blank,blank
"add asperger's demo to Bhismalab prototype website - and e-mail to Bhisma",2016-01-10,blank,blank,blank,blank
"Ask Hristina to check if Hard-Drive works in babylab",2016-01-10,blank,blank,blank,blank
