Job,Due,CreatedDate,Tags
"New Job",2016-01-01,2016-01-09,blank
"Finalise coding of ADOS videos with Anya",07/01/2016,,
"Ask Dan Brierley about participating",07/01/2016,,
"find Garret's task for fMRI - Director task (apparently in its own folder on eye-tracking laptop)",07/01/2016,,
"E-mail broader range of ASC participants for Hristina study",07/01/2016,,
"collector: need part of the side menu on gui to be hilighted all the time when selected",07/01/2016,,
"work on fMRI paper write up",07/01/2016,,
"organise talk for Open-Source Psychology software Give presentation: Should we stop using E-prime forever? Maybe book a tuesday seminar for early in Summer term: ACTUALLY Tricia says to give the talk in week 4 - this could take the form of an intense research methods course at the end of summer term. Promoted and booked rooms for my E-Prime/Alternatives to E-Prime course - This will be a complete and intense research methods course",07/01/2016,,
"Recruit last 3 Janina Participants",07/01/2016,,
"collector: suggest drag and drop-trials?",07/01/2016,,
"collector: stim files should be ""group1stim.csv"", and proc files should be ""group1proc.csv"". Not just ""group1.csv"" for both",07/01/2016,,
"collector: rename ""new instructions"" to ""first instructions""",07/01/2016,,
"connect onto collector on Github",07/01/2016,,
"Collector: read directories that have spaces in them",07/01/2016,,
"collector: work on likert trial type next; after changing structure to allow substitution of .php files for each trial type, e.g. cueSave.php",07/01/2016,,
"collector: what is composer? Is it relevant (composer friendly file upload - see notes of 10/12/2015)",07/01/2016,,
"collector: use a timer for saving backup of the task (every 30 seconds)",07/01/2016,,
"kou MSc: replace videos with non-magic videos online",08/01/2016,,
"Kou MSc project; do feedback -> per trial (you got food! You got Shock!)",08/01/2016,,
"Kou MSc project; do feedback -> for the 10 trials",08/01/2016,,
"Fix video display for KouMsc project: 512 x 384",08/01/2016,,
"check if laptop downstairs e-prime works with e-prime key that Bhisma gave me. - need to talk to Anya about this",09/01/2016,,
"try conjugating french verbs using ""http://www.conjugation-fr.com/conjugate.php?verb=revenir&x=0&y=0""",10/01/2016,,
"Reply to Simona Skripkauskaite about ADOS for Kerry Lound (skripkas@roehampton.ac.uk)",10/01/2016,,
"Update project proposal for my incentive delay discounting studies. The proposal is in Reading_Files -> Bhisma -> Post PhD Papers -> Probability Incentive Delay Task",10/01/2016,,
"recruit 30 ASC participant's for Hristina's study (recruit matched controls after start of ASCs) - no epilepsy participants at all - two questions to ask pps in Lab book (15/9/2015). Participants within 100 miles; under 40 years old.",10/01/2016,,
"Clear space in CINN for files",10/01/2016,,
"use chris' calculations on the current participants and discuss progress of paper (e.g. lead author for him or me or both?)",10/01/2016,,
"Get Bhisma's signatures for participant payment forms",10/01/2016,,
"install http://www.eyetracking-r.com/ and use it on Chris' eye-tracking data",10/01/2016,,
"All ADOSES coded?",10/01/2016,,
"Ask Hristina to check if Hard-Drive works in babylab",10/01/2016,,
"Sort out payment form (in black lab-book) with finance office.",10/01/2016,,
"organise fMRI data on R-Drive",10/01/2016,,
"add asperger's demo to Bhismalab prototype website - and e-mail to Bhisma",10/01/2016,,
"organise inhibition data on R-Drive",10/01/2016,,
"code Ravens and update database",11/01/2016,,
"recalculate ADOS scores using Tom Loucas' e-mail (2/11/2015)",11/01/2016,,
"Start going to Tuesday talks!",11/01/2016,,
"Ask Bhisma for questionnaire data for Anya",12/01/2016,,
"start preparing talk about open source psychology",15/01/2016,,
"calculate effect size before running online Button-Presses",15/01/2016,,
"Ask Clare about inhibition task as a paper? in inhibition chapter, properly analyse whether reward value (Valence ratings), influences performance in the inhibition tasks. It appears that higher rated images have a lower RT for incomp trials than lower rated images in the simon task, but that accuracy in No-Go trials is worse for higher-rated images than lower rated images. Check ""Post-Thesis"" folder in Thesis; to look at the effect of valence on which images the participants performed best in during the Go/No-Go, compare the D-Prime scores for the two most used rankings, and identify whether the participant did better or worse during the higher ranked images. to analyse inhibition chapter better: One way to look at the effect of reward on compatibility effects is by looking at the proportion of correct comp trials when the target had the more positive valence rating, when the incomp had the more positive rating, etc. ;",15/01/2016,,
"confirm when your NHS appointment is!!!",28/01/2016,,
"Ask Mikey and Tyson for slides for talk",30/01/2016,,
"start looking for grants and PDs",01/02/2016,,
"Talk to Bhismalab about sending a member to Guildford meeting (re: howard Childs e-mail)",01/02/2016,,
"final clean of my room",01/02/2016,,
"reply to Mica about the experiment; i.e. FINISH the POSNER TASK ANALYSIS",01/02/2016,,
"organise code that automatically updates megadatabase as participants complete questionnaires -> do this after multiple questionnaire link issue has been resolved",01/02/2016,,
"talk to Bhisma about running a study looking at autistic traits modulating gaze duration to images of low and high autism interest objects",01/02/2016,,
hopejahrensurecanwrite.com/2014/06/02/how-to-turn-a-good-proposal-into-an-excellent-proposal-in-eight-admittedly-arduous-steps,01/02/2016,,
"DO AQ and EQ correlate differently with the BISBAS for males and females? [Potential paper]: correlational paper looking at age; can deviance from the regression line reflect diminished responsiveness to the predictor variable? Or how poorly one variable modulates the other as a variable?",01/02/2016,,
"Give Nick code for psychoPhysiology",01/02/2016,,
"submit Freeview-Rating paper",01/02/2016,,
"bhismalab questionnaires: correlations and analysis online",01/02/2016,,
"collector: implement reverse polish notation in online analysis",03/03/2016,,
"testing ASC participants with rating and freeview paradigm; using Bayes analysis to show there is no effect in the ASC participants, even though there is in the neurotypical participants",30/03/2016,,
"looked at potential research projects???",01/04/2016,,
"most ethical app within xxx metres; Ethical Vending Machines; include the most ethical competitor products http://www.ethicalconsumer.org/subscriptions.aspx",01/04/2016,,
"e-mail ASC database to ask if they would be interested in an online platform, and what you would want online?",01/04/2016,,
"make a website for tennis ladder (King of the Ladder)",01/04/2016,,
"Create GUI for collector (see notes 4/9/2015) - add function to allow user to use previous studies (for now settle for demo)",01/04/2016,,
"clarify pension status?",01/04/2016,,
"contact Voice of young science about Collector",01/04/2016,,
